ptr,ptr(hex),u32arHPage[16],u16FPageW,u8DesCh,u8DesIntlvA,u16BufIdx,u16CacheAddr,u16XfrCnt,u16FBlockW,u32OrgDesPage2,u8StateW,u8CmdSrc,u8ActMode,u8LSBMode,u16SlotFlagW
26,0x1a,"0x000a7cdc,0xdd000a7c,0x7cdd000a,0x0a7cdd00,0x000a7cdd,0xde000a7c,0x7cde000a,0x0a7cde00,0x000a7cde,0xdf000a7c,0x7cdf000a,0x0a7cdf00,0x000a7cdf,0xe0000a7c,0x7ce0000a,0x0a7ce000",0x000c,0x01,0x01,0x0240,0x3300,0x0040,0x001e,0x000000c9,0x00,0x04,0x00,0x00,0x0040
27,0x1b,"0x000a7ce4,0xe5000a7c,0x7ce5000a,0x0a7ce500,0x000a7ce5,0xe6000a7c,0x7ce6000a,0x0a7ce600,0x000a7ce6,0xe7000a7c,0x7ce7000a,0x0a7ce700,0x000a7ce7,0xe8000a7c,0x7ce8000a,0x0a7ce800",0x000c,0x02,0x01,0x0280,0x3340,0x0040,0x001e,0x000000ca,0x00,0x04,0x00,0x00,0x0040
28,0x1c,"0x000a7cec,0xed000a7c,0x7ced000a,0x0a7ced00,0x000a7ced,0xee000a7c,0x7cee000a,0x0a7cee00,0x000a7cee,0xef000a7c,0x7cef000a,0x0a7cef00,0x000a7cef,0xf0000a7c,0x7cf0000a,0x0a7cf000",0x000c,0x03,0x01,0x02c0,0x3380,0x0040,0x001e,0x000000cb,0x00,0x04,0x00,0x00,0x0040
29,0x1d,"0x000a7cf4,0xf5000a7c,0x7cf5000a,0x0a7cf500,0x000a7cf5,0xf6000a7c,0x7cf6000a,0x0a7cf600,0x000a7cf6,0xf7000a7c,0x7cf7000a,0x0a7cf700,0x000a7cf7,0xf8000a7c,0x7cf8000a,0x0a7cf800",0x000c,0x04,0x01,0x0300,0x33c0,0x0040,0x001e,0x000000cc,0x00,0x04,0x00,0x00,0x0040
30,0x1e,"0x000a7cfc,0xfd000a7c,0x7cfd000a,0x0a7cfd00,0x000a7cfd,0xfe000a7c,0x7cfe000a,0x0a7cfe00,0x000a7cfe,0xff000a7c,0x7cff000a,0x0a7cff00,0x000a7cff,0x00000a7c,0x7d00000a,0x0a7d0000",0x000c,0x05,0x01,0x0340,0x3400,0x0040,0x001e,0x000000cd,0x00,0x04,0x00,0x00,0x0040
31,0x1f,"0x000a7d04,0x05000a7d,0x7d05000a,0x0a7d0500,0x000a7d05,0x06000a7d,0x7d06000a,0x0a7d0600,0x000a7d06,0x07000a7d,0x7d07000a,0x0a7d0700,0x000a7d07,0x08000a7d,0x7d08000a,0x0a7d0800",0x000c,0x06,0x01,0x0380,0x3440,0x0040,0x001e,0x000000ce,0x00,0x04,0x00,0x00,0x0040
32,0x20,"0x000a7d0c,0x0d000a7d,0x7d0d000a,0x0a7d0d00,0x000a7d0d,0x0e000a7d,0x7d0e000a,0x0a7d0e00,0x000a7d0e,0x0f000a7d,0x7d0f000a,0x0a7d0f00,0x000a7d0f,0x10000a7d,0x7d10000a,0x0a7d1000",0x000c,0x07,0x01,0x03c0,0x3480,0x0040,0x001e,0x000000cf,0x00,0x04,0x00,0x00,0x0040
33,0x21,"0xffffffff,0x0dffffff,0x7a0dffff,0x0a7a0dff,0x000a7a0d,0x0e000a7a,0x7a0e000a,0x0a7a0e00,0x000a7a0e,0x0f000a7a,0x7a0f000a,0x0a7a0f00,0x000a7a0f,0x10000a7a,0x7a10000a,0x0a7a1000",0x0006,0x07,0x01,0x03ff,0x0000,0x0000,0x001e,0x00000000,0x00,0x04,0x04,0x00,0x0281
34,0x22,"0xffffffff,0x0dffffff,0x770dffff,0x0a770dff,0x000a770d,0x0e000a77,0x770e000a,0x0a770e00,0x000a770e,0x0f000a77,0x770f000a,0x0a770f00,0x000a770f,0x10000a77,0x7710000a,0x0a771000",0x0000,0x07,0x01,0x0000,0x36c0,0x0200,0x001e,0x00000010,0x00,0x04,0x04,0x00,0x0081
35,0x23,"0xffffffff,0x6affffff,0x756affff,0x0a756aff,0x000a756a,0x6b000a75,0x756b000a,0x0a756b00,0x000a756b,0x6c000a75,0x756c000a,0x0a756c00,0x000a756c,0x6d000a75,0x756d000a,0x0a756d00",0x017c,0x01,0x01,0x0000,0x0010,0x0020,0x0011,0x00000020,0x00,0x04,0x04,0x80,0x0881
